name	level	office	district	town	state	photo	website	cycle	lat	lng
David Trumble	state	State Senate	District 8		New Hampshire	https://dirtroadcode.github.io/dirtroad-map/photos/david-trumble.webp	https://www.trumble4nh.com/	2026	43.190051	-72.093871
Debbie Davidson	state	State Representative	District 63		Ohio			2026		
Diana Spangler	state	State Representative	District 16		Georgia	https://dirtroadcode.github.io/dirtroad-map/photos/diana-spangler.webp	https://spanglerforstatehouse.com/	2026	34.008352	-85.128625
Dustin Vigneault	state	State Representative	Grafton 5		New Hampshire	https://dirtroadcode.github.io/dirtroad-map/photos/dustin-vigneault.webp		2026	44.022939	-71.935981
Dusty Jo Jones	state	State Representative	District 49		Oklahoma	https://dirtroadcode.github.io/dirtroad-map/photos/dusty-jo-jones.webp	https://dustyjoforhouse.com/	2026	34.030031	-97.13514
Emily Tseffos	state	State Senate	District 19		Wisconsin	https://dirtroadcode.github.io/dirtroad-map/photos/emily-tseffos.webp	https://www.emilyforwi.com/	2026	44.434768	-88.623015
Gavin Lobmeyer	state	State Representative	District 7		Wyoming			2026		
Hannah Cole	state	State Representative	District 86		Oklahoma	https://dirtroadcode.github.io/dirtroad-map/photos/hannah-cole.webp	https://coleforok86.com/	2026	36.009442	-94.772497
Heather Holmes	state	State Representative	District 24A		Minnesota	https://dirtroadcode.github.io/dirtroad-map/photos/heather-holmes.webp	https://www.holmesformn.com/	2026	43.999981	-92.788825
Iva Markicevic Daley	state	State Representative	District 99		Kentucky	https://dirtroadcode.github.io/dirtroad-map/photos/iva-markicevic-daley.webp	https://www.ivaforkentucky.com/	2026	38.072449	-83.280262
Jacob Brooks	state	State Representative	District 93		North Carolina			2028	36.392483	-81.471382
