USPS	GEOID	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                        
IN	18044	State Senate District 44	4585005364	92903445	1770.281	35.87	38.872378	-86.309761                                                                                                               
IN	18045	State Senate District 45	986992360	10888229	381.08	4.204	38.476217	-85.711122                                                                                                                  
IN	18046	State Senate District 46	94689524	1497031	36.56	0.578	39.761437	-86.128015                                                                                                                     
IN	18047	State Senate District 47	2946533554	15290462	1137.663	5.904	38.396398	-86.095115                                                                                                               
IN	18048	State Senate District 48	6043055350	101257908	2333.237	39.096	38.247157	-87.010418                                                                                                             
IN	18049	State Senate District 49	1538396546	33294946	593.978	12.855	38.019291	-87.786506                                                                                                               
IN	18050	State Senate District 50	1122598944	18797243	433.438	7.258	38.075735	-87.285841                                                                                                                
IA	19001	State Senate District 1	287009612	1853227	110.815	0.716	42.52018	-96.283382                                                                                                                    
IA	19002	State Senate District 2	4577717846	3632141	1767.467	1.402	43.12036	-96.225188                                                                                                                  
IA	19003	State Senate District 3	5781717619	20441063	2232.334	7.892	42.991216	-95.417051                                                                                                                
IA	19004	State Senate District 4	6313907896	25379183	2437.814	9.799	42.479807	-94.62668                                                                                                                 
IA	19005	State Senate District 5	7558500964	109299113	2918.354	42.201	43.248159	-94.492592                                                                                                              
IA	19006	State Senate District 6	7303154222	9559880	2819.764	3.691	41.947571	-95.204                                                                                                                    
IA	19007	State Senate District 7	5595989815	25532162	2160.624	9.858	42.368953	-95.988208                                                                                                                
IA	19008	State Senate District 8	6433449395	46402325	2483.969	17.916	41.256521	-95.649533                                                                                                               
IA	19009	State Senate District 9	8444304390	31088928	3260.364	12.004	40.932788	-94.765341                                                                                                               
IA	19010	State Senate District 10	108562083	7581469	41.916	2.927	41.237718	-95.859776                                                                                                                   
IA	19011	State Senate District 11	1897919382	28335816	732.791	10.941	41.320249	-93.472556                                                                                                               
IA	19012	State Senate District 12	8889180093	46748359	3432.132	18.05	41.055476	-93.816248                                                                                                               
IA	19013	State Senate District 13	4601998251	48424400	1776.842	18.697	40.881585	-92.623568                                                                                                              
IA	19014	State Senate District 14	309026713	4026269	119.316	1.555	41.584266	-93.926382                                                                                                                  
IA	19015	State Senate District 15	99459654	3672293	38.402	1.418	41.544698	-93.598272                                                                                                                    
IA	19016	State Senate District 16	86905268	2707931	33.554	1.046	41.562834	-93.745724                                                                                                                    
IA	19017	State Senate District 17	36659071	875580	14.154	0.338	41.605489	-93.609518                                                                                                                     
IA	19018	State Senate District 18	50478799	1862348	19.49	0.719	41.592182	-93.667986                                                                                                                     
IA	19019	State Senate District 19	3433215844	33255680	1325.572	12.84	41.530984	-93.019231                                                                                                               
IA	19020	State Senate District 20	152034687	1275519	58.701	0.492	41.632481	-93.510958                                                                                                                   
IA	19021	State Senate District 21	78790874	466699	30.421	0.18	41.731303	-93.603897                                                                                                                      
IA	19022	State Senate District 22	120003405	5536050	46.334	2.137	41.665033	-93.713584                                                                                                                   
IA	19023	State Senate District 23	1199415409	35045717	463.097	13.531	41.763803	-93.86443                                                                                                                
IA	19024	State Senate District 24	5114559644	21688704	1974.743	8.374	41.897666	-94.255201                                                                                                               
IA	19025	State Senate District 25	136987168	886337	52.891	0.342	42.006016	-93.570094                                                                                                                    
IA	19026	State Senate District 26	2580462472	3687772	996.322	1.424	42.030533	-93.175198                                                                                                                 
IA	19027	State Senate District 27	6066204438	9944643	2342.175	3.84	42.142387	-92.757243                                                                                                                 
IA	19028	State Senate District 28	7294934932	16821001	2816.59	6.495	42.722085	-93.702752                                                                                                                
IA	19029	State Senate District 29	5020105527	19770941	1938.274	7.634	42.897724	-92.551369                                                                                                               
IA	19030	State Senate District 30	3936575275	23550427	1519.92	9.093	43.248465	-93.10071                                                                                                                 
IA	19031	State Senate District 31	138697677	4603827	53.551	1.778	42.497206	-92.343892                                                                                                                   
IA	19032	State Senate District 32	7158552866	89493455	2763.933	34.554	43.146171	-91.66195                                                                                                               
IA	19033	State Senate District 33	4066848874	45102132	1570.219	17.414	42.244612	-90.852605                                                                                                              
IA	19034	State Senate District 34	5110360513	10740143	1973.121	4.147	42.580024	-91.725845                                                                                                               
IA	19035	State Senate District 35	2453213418	50012024	947.191	19.31	41.887212	-90.553437                                                                                                                
IA	19036	State Senate District 36	177005866	13510755	68.342	5.217	42.542975	-90.712451                                                                                                                  
